id_articulo,titulo,autores,afiliaciones,palabras_clave,tematica
Vol+29+No+1+Pag+69+-+73,Empleo del sistema algebraico computacional SymPy en el proceso de aprendizaje del cálculo infinitesimal (diferenciación),Carlos Segura Vidal|Ricardo Abreu Blaya|Julio Cruz Cruz,"Departamento de Licenciatura en Matemática, Universidad de Holguín, Cuba",Cálculo diferencial|SymPy|CAS|resolución de problemas|generación de gráficos,Aplicación de SymPy en el aprendizaje del cálculo diferencial
Vol+29+No+2+Pag+107+-+114,Recuperación de información para artículos científicos soportada en el agrupamiento de documentos XML,Damny Magdaleno|Ivett E. Fuentes|Michel Cabezas|María M. García,"Universidad Central 'Marta Abreu' de las Villas, Cuba|XETIC, La Habana, Cuba",Recuperación de Información|Agrupamiento|XML,Recuperación de información en documentos XML
Vol+29+No+2+Pag+115+-+125,Análisis de modelos sísmicos mediante un método de series,A. Reyes|J. A. Reyes|M. Cortés-Molina|F. García-Alonso,"Universidad de Alicante, Grupo de Investigación Modelización Matemática de Sistemas, España|Escuela Politécnica Superior, Universidad de Alicante, España",modelos sísmico|ecuaciones diferenciales|método de series,Análisis de modelos sísmicos mediante método de series
Vol+29+No+2+Pag+127+-+130,Relación entre el automorfismo de Frobenius y los n homomorfismos de inmersión del campo GF(p ) en m el campo GF(p ),Oristela Cue´llar Justiz|Eberto R. Morgado Morales|Evaristo Madarro Capo´|Guillermo Sosa Go´mez,"Universidad Central“Marta Abreu”de Las Villas, Santa Clara, Cuba|Centro de Investigaciones en Matemática (CIMAT), Guanajuato, México",automorfismo de Frobenius|homomorfismos de inmersión,Relación entre el automorfismo de Frobenius y los homomorfismos de inmersión
Vol+29+No+2+Pag+131+-+137,Recibido09-2015 Reflexiones sobre el teorema de Abel extendido a las filas de la tabla de Pade,Abel Ferna´ndez Infante1*|Luis Ramiro Pin˜eiro2,"Instituto Superior Polite´cnico Jose´ A. Echeverr´ıa, La Habana, Cuba, afdez@cemat.cujae.edu.cu|Universidad de La Habana, Cuba, lrp@matcom.uh.cu",Rows of the Pade´ table|Filas de la tabla de Pade´,Consecuencias del teorema de Abel extendido a las filas de la tabla de Pade
Vol+29+No+2+Pag+139+-+144 (1),La comprensión de textos en la resolución de problemas que conducen a ecuaciones,Juan Carlos Navarro González|Allan Blanco García|Elisabet Vivar Reyes,"CCSA, La Habana, Cuba|ELAM, La Habana, Cuba",Comprensión de textos|ecuaciones,Comprensión de textos en resolución de problemas algebraicos
Vol+29+No+2+Pag+139+-+144,La comprensión de textos en la resolución de problemas que conducen a ecuaciones,Juan Carlos Navarro González|Allan Blanco García|Elisabet Vivar Reyes,"CCSA, La Habana, Cuba|ELAM, La Habana, Cuba",Comprensión de textos|ecuaciones,Comprensión de textos en resolución de problemas algebraicos
Vol+29+No+2+Pag+75+-+85,Aplicacio´n del procedimiento para la seleccio´n del personal con base en la teor´ıa de los subconjuntos borrosos en el Hotel Vedado Saint-Johns,Lourdes Souto Anido|Irene Garc´ıa Rondo´n,"Facultad de Econom´ıa de la Universidad de La Habana, Cuba",Gestio´n de Recursos Humanos|Seleccio´n del Personal|Toma de Decisio´n|Incertidumbre|Teor´ıa de los Subconjuntos Borrosos,Procedimiento de seleccio´n de personal basado en la teor´ıa de los subconjuntos borrosos
Vol+29+No+2+Pag+87+-+92,Análisis de un algoritmo multiclasificador incremental con diferentes clasificadores bases,Alberto Verdecia Cabrera|David La O Naranjo|Ramón Osmany Ramírez Tase|Agustín Alejandro Ortiz Díaz|Isvani Frías Blanco,"Universidad de Granma, Cuba|IMNi, Niquero, Cuba",Aprendizaje incremental|flujos de datos|cambio de concepto|clasificadores múltiples,Análisis de algoritmo multiclasificador incremental
Vol+29+No+2+Pag+93+-+98,Criterios para identificar reglas de asociación espacial entre objetos hidrológicos y coberturas terrestres en imágenes de satélite,Leisy Sosa Castro,"Universidad Agraria de La Habana”Fructuoso Rodríguez Pérez”, Facultad de Ciencias Técnicas, Cuba",Ima´genesdesate´lites|objetoshidrolo´gicos|coberturasterrestres|reglasdeasociacio´nespacial|relacionesimpl´ıcitas,Extracción de relaciones espaciales en imágenes de satélite
Vol+30+No+1+Pag+01+-+84,Introducción al método de los elementos finitos,Franck Boyer|Sébastien Martin,"Université Toulouse 3 Paul Sabatier, Institut de Mathématiques de Toulouse CNRS UMR5219|Université Paris Descartes, MAP5 CNRS UMR8145",finite element method|elliptic problems|saddle-point problems|FreeFem++,Método de elementos finitos y problemas elípticos
Vol+30+No+1+Pag+85+-+94,Recibido06-2016 Resolucio´n con el Me´todo de Elementos Finitos del problema de cavidad con pared mo´vil,Dayron Chang Dominguez1*|Jose´ Enrique Alvarez Iglesias2,"Centro de Meteorolog´ia Agr´ıcola, Instituto de Meteorolog´ıade Cuba, La Habana, Cuba, dayron.chang@insmet.cu|DepartamentodeSoftware, SIMPRO, La Habana, Cuba, ee2@mitsa.cu",Elementos Finitos|Ecuaciones Diferenciales|Ecuaciones de Stokes|F´ısica delos fluidos,Resolución del problema de cavidad con pared móvil con el método de elementos finitos
Vol+30+No+2+Pag+01+-+04,El modelo de Lotka -Volterra,Jorge Estrada Hernández|Ana Isis Toledo Marrero,"Departamento de Matemática, Universidad de La Habana, Cuba",Lotka-Volterra|Elementos Finitos|Diferencias Finitas,Análisis del modelo Lotka-Volterra con ecuaciones diferenciales parciales
Vol+30+No+2+Pag+05+-+14,Comprobación numérica del proceso de homogeneización mediante el método de los elementos finitos.,Ernesto Iglesias Rodríguez|Armando Arredondo Soto,"IGP-Servicio Geológico de Cuba, La Habana, Cuba|CEMAT, Instituto Superior Politécnico José Antonio Echeverría, La Habana, Cuba",Elementos Finitos|Homogeneización,Homogeneización de problemas elípticos mediante el método de los elementos finitos
Vol+30+No+2+Pag+15+-+20,Una solucio´n de la ecuacio´n no estacionaria de la conduccio´n del calor empleando Elementos Finitos con FreeFeem++.,Yoan Quintana Herrera|Luis Sorinas Morales,"Facultad de Matema´tica y Computacio´n, Universidad de La Habana, La Habana, Cuba",Unsteady Heat Equation|Finite Difference Method|Finite Element Theory|FreeFem++ software,Solución de la ecuación no estacionaria de la conducción del calor con Elementos Finitos y FreeFem++
Vol+30+No+2+Pag+21+-+31,Aproximación por el método de los elementos finitos para el problema estacionario de Navier-Stokes,Angel Ulise Tabares González|Miguel Angel Socorro Borges,"VERTEX Entornos Interactivos 3D, Universidad de las Ciencias Informáticas, La Habana, Cuba|Centro de Informática Industrial, Universidad de las Ciencias Informáticas, La Habana, Cuba",Navier-Stokes|FreeFem|Método de los Elementos Finitos,Solución de las ecuaciones estacionarias de Navier-Stokes por el método de los elementos finitos
Vol+30+No+2+Pag+33+-+41,Aplicacio´n del MEF a un Problema de Poisson sobre regiones mu´ltiplemente conexas.,Abraham Toledo Sa´nchez,"Facultad de Matema´tica y Computacio´n de la Universidad de La Habana, San La´zaro y L, CP10400, La Habana, Cuba.",MEF|EDP|MetododeElementosFinitos|ProblemadePoisson,Aplicación del MEF a un Problema de Poisson sobre regiones multiplemente conexas
Vol+30+No+2+Pag+43+-+53,Generalizaciones de la integral definida hasta la integral de Riemann,Otilio B. Mederos Anoceto|Rita A. Rolda´n Inguanzo,"Facultad de Ciencias F´ısico-Matema´ticas, Universidad Auto´noma de Coahuila, Me´xico|Facultad de Matema´tica y Computacio´n, Universidad de La Habana, Cuba",Generalizacio´n|Integral definida|Integral de Riemann,Generalizaciones de la integral definida
Vol+30+No+2+Pag+55+-+63,Estrategia didáctica para el razonamiento lógico matemático en los estudiantes de primer año de la carrera mecánica automotriz en la Universidad Técnica de Ambato,Luis Efraín Velastegui López|Pablo Homero Velastegui López|Ricardo Sánchez Casanova,"Universidad Técnica de Ambato, Ambato, Ecuador|Facultad de Matemática y Computación, Universidad de La Habana, Cuba",problema|motivación|razonamiento lógico matemático|estrategia didáctica,Estrategia didáctica para razonamiento lógico matemático
Vol+30+No+2+Pag+65+-+71,Aplicación del Criterio BMA de selección de modelos bajo enfoque Bayesiano a un problema de Sensibilidad Alérgica Ocupacional en Panaderías de La Habana.,Marelys Crespo|Vivian Sistachs,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",Regresión Logística|Selección de modelos|BMA,Aplicación del criterio BMA de selección de modelos bajo enfoque Bayesiano a un problema de sensibilidad alérgica ocupacional en panaderías de La Habana.
Vol+30+No+2+Pag+73+-+78,Asignación de proyectos a estudiantes utilizando un operador FOWA de máxima entropía y el Método Húngaro,Greneter Cordoves Delgado|Boris Pérez Canedo|Eduardo R. Concepción Morales,"Departamento de Informática, Universidad de Cienfuegos, Cienfuegos, Cuba|Departamento de Matemática, Universidad de Cienfuegos, Cienfuegos, Cuba",Asignación de proyectos|número borroso|operador FOWA|método húngaro,Asignación de proyectos a estudiantes con operador FOWA y método húngaro
Vol+30+No+2+Pag+79+-+86,Análisis morfológico de muestras de HUVEC empleando funciones basadas en geometría integral,Miriela Escobedo Nicot|Silena Herold García|Ligia Ferreira Gomez|Camila Machado|Elisa Monteiro Pereira|Wilkie Delgado Font,"Departamento de Computación, Universidad de Oriente, Santiago de Cuba, Cuba|Departamento de Análisis Clínicos y Toxicológicos, Universidad de São Paulo, São Paulo, Brasil|Departamento de Fisiopatología Experimental, Facultad de Medicina, Universidad de São Paulo, São Paulo, Brasil|Departamento de Análisis Clínicos y Toxicológicos, Facultad de Ciencias Farmacéuticas, Universidad Federal de Alfenas, Minas Gerais, Brasil",Clasificación de formas|Geometría integral|Angiogénesis|HUVEC,Análisis morfológico de muestras de HUVEC
Vol27_No1_Pages-03-14,Un método de series especialmente adaptado a la integración de osciladores armónicos perturbados,F. García-Alonso|J. A. Reyes,"Universidad de Alicante (España), Escuela Politécnica Superior, Departamento de Matemática Aplicada",,Integración de osciladores armónicos perturbados
Vol27_No1_Pages-15-27,Solución de un problema de contorno de gran complejidad para ecuaciones de tipo hiperbólico: caso índice cero,Dr. Lorgio F. Batard Martínez|MSc. Yanelis Estrada Hernández,"Departamento de Matemática, Universidad Central Marta Abreu, Santa Clara, Villa Clara, Cuba",,Solución de problemas de contorno complejos para ecuaciones hiperbólicas
Vol27_No1_Pages-28-38,Solución de un problema de contorno de gran complejidad para ecuaciones de tipo hiperbólico: casos de índices positivos y negativos.,Dr. Lorgio F. Batard Martínez|MSc. Yanelis Estrada Hernández,"Departamento de Matemática, Universidad Central Marta Abreu de Las Villas, Santa Clara, Villa Clara, Cuba",,Solución de problemas de contorno complejos para ecuaciones hiperbólicas
Vol27_No1_Pages-39-44,Acotación uniforme. Estabilidad y estabilidad uniforme de las soluciones de un sistema íntegro-diferencial tipo Volterra,José R. Velázquez Codina,"Universidad de Holguín, Cuba",,Estabilidad y acotación uniforme de soluciones de sistemas íntegro-diferenciales tipo Volterra
Vol27_No1_Pages-45-52,Promediación de un proceso conductivo sobre la estructura de tipo esqueleto bidimensional más simple,Juan Manuel Regalado Gómez|Julián Bravo Castillero|Raúl Guinovart Díaz|Reinaldo Rodríguez Ramos,"Universidad de La Habana, Facultad de Matemática y Computación",,Promediación de procesos conductivos en estructuras bidimensionales
Vol27_No1_Pages-53-63,The conceptual emancipation of real number from the idea of magnitude: a german perspective,Luis Giraldo González Ricardo|Carlos Sánchez Fernández,"Universidad de La Habana, Facultad de Matemática y Computación, La Habana, Cuba.",,Concepto de número real en matemática alemana
Vol27_No1_Pages-64-71,La regla de Simpson con mallados generales e integrales impropias,J. L. G. Santander|J. M. Isidro|M. A. García-March|P. Fernández de Córdoba|D. Acosta Iglesias,Universidad Católica de Valencia|Universidad Politécnica de Valencia|Instituto de Matemática Pura y Aplicada|Universidad Hermanos Saiz|Universidad de La Habana,Regla de Simpson|Integración numérica|Mallados exponenciales|Integrales impropias,Generalización de la regla de Simpson para mallados exponenciales y cálculo de integrales impropias
Vol27_No2_Pages-03-16,Emergencia de una cultura matemática en Cuba,Carlos Sánchez Fernández|Concepción Valdés Castro,"Facultad de Matemática y Computación|Universidad de La Habana, Cuba",,Formación de cultura matemática en Cuba
Vol27_No2_Pages-17-26,Integración de osciladores perturbados mediante un esquema multipaso basado en una extensión de la serie de Taylor,J. A. Reyes|F. García-Alonso,Escuela Politécnica Superior (E.P.S.). Departamento de Matemática Aplicada. Universidad de Alicante (España).,,Integración de osciladores armónicos forzados
Vol27_No2_Pages-27-36,"La transformada wavelet continua, en la detección de altas concentraciones de vorticidad en la capa fronteriza de la atmósfera",Maibys Sierra Lorenzo|Mario Carnesoltas Calvo|Nivian Quintana|Ángela León Mecías,"Instituto de Meteorología|Departamento de Matemática Aplicada, Universidad de La Habana",transformada wavelet continua|rollos convectivos horizontales|vorticidad,Detección de altas concentraciones de vorticidad en la capa fronteriza de la atmósfera
Vol27_No2_Pages-37-46,Metodología para evaluar la habilidad docente procesamiento de datos en la formación matemática del profesor de la educación secundaria básica,Dr.C Ricardo Sánchez Casanova|Dra. Olga Lidia Pérez González,Universidad de La Habana|Universidad de Camagüey,habilidad docente procesamiento de datos|los nexos símbolos-objetos|la mediación semiótica|estado metacognitivo|la evaluación,Metodología para evaluar habilidad docente en procesamiento de datos
Vol27_No2_Pages-47-53,Effective properties for multi-phase fibrous elastic composites.,Yanely Zaldivar Gerpe|Raúl Guinovart Díaz|Yoanh Espinosa Almeyda|Julián Bravo Castillero|Reinaldo Rodríguez Ramos,"Universidad de La Habana, Cuba",Asymptotic Homogenization Method|effective properties|fibrous composites|doubly periodic,Propiedades efectivas de materiales elásticos con fibras multicapas
Vol27_No2_Pages-54-63,"Justificación analítica y numérica del método ^f^ , hd h = 0 de solución del problema directo div x y u , con coeficiente variable y condición de contorno tipo Dirichlet",Emmanuel Abdias Romano Castillo|Alexandre I. Grebennikov,"Benemérita Universidad Autónoma de Puebla, FCFM BUAP",,Método PRG para resolver problema de Dirichlet
Vol27_No2_Pages-64-69,"Algoritmo para el cálculo de la matriz inversa de una matriz en GF(p), p-primo",Pablo Freyre|Nelson Díaz,"Facultad de Matemática y Computación, Universidad de La Habana. Cuba",Polinomios primitivos|sistemas de ecuaciones lineales|matriz inversa,Algoritmo para cálculo de matriz inversa en GF(p)
Vol27_No2_Pages-70-77 (1),Inmersión de un campo de Galois GF(pn) en otro de mayor cardinalidad,Oristela Cuellar Justiz|Guillermo Sosa Gómez,"Departamento de Matemáticas, Universidad Central Marta Abreu, Las Villas",,Teoría de campos finitos y homomorfismos
Vol27_No2_Pages-70-77,Inmersión de un campo de Galois GF(pn) en otro de mayor cardinalidad,Oristela Cuellar Justiz|Guillermo Sosa Gómez,"Departamento de Matemáticas, Universidad Central Marta Abreu, Las Villas",,Teoría de campos finitos y homomorfismos
Vol27_No2_Pages-78-83,Demostración de la unicidad del ciclo de Collatz,MSc. Denis Martínez Tápanes|Dr. José Enrique Martínez Serra,"Universidad de Ciencias Médicas, Santa Clara|Universidad Central Marta Abreu, Las Villas",,Demostración de la unicidad del ciclo de Collatz
Vol28_No1_Pages-03-20,El cálculo como ciencia normal: en el centenario del primer texto cubano sobre el cálculo,Concepción Valdés Castro|Carlos Sánchez Fernández,"Facultad de Matemática y Computación|Universidad de La Habana, Cuba",,Cálculo diferencial e integral como ciencia normal
Vol28_No1_Pages-21-25,Descripción de la categoría derivada de un álgebra de tipo A equiorientada con radical cuadrado cero,Lic. Bely Rodríguez Morales|Dr. José Fidel Hernández Advíncula,"Facultad de Matemática y Computación, Universidad de La Habana",,Categorías derivadas de álgebras no hereditarias
Vol28_No1_Pages-26-30,Descripción de la categoría derivada de un álgebra hereditaria de tipo de representación,Lic. Laura Decalo Salgado|Dr. José Fidel Hernández Advíncula,Facultad de Matemática y Computación Universidad de La Habana,carcaj de Auslander-Reiten|categoría derivada|álgebra hereditaria|complejos acotados|funtor de Nakayama,Carcaj de Auslander-Reiten de un álgebra hereditaria
Vol28_No1_Pages-31-39 (1),"Al (cid:976)in de cuentas, ¿qué es una recta?",Daniela Bonilla Barraza|Marcela Parraguez González|Leonardo Solanilla Chavarro,"Universidad de La Serena, Chile|Ponti(cid:980)icia Universidad Católica de Valparaíso, Chile|Universidad del Tolima, Colombia",Taxicab Geometry|straight line|conic sections|topological dimension|linear Diophantine equations,Definiciones métricas de líneas rectas en Geometría Discreta del Taxista
Vol28_No1_Pages-31-39,"Al (cid:976)in de cuentas, ¿qué es una recta?",Daniela Bonilla Barraza|Marcela Parraguez González|Leonardo Solanilla Chavarro,"Universidad de La Serena, Chile|Ponti(cid:980)icia Universidad Católica de Valparaíso, Chile|Universidad del Tolima, Colombia",Taxicab Geometry|straight line|conic sections|topological dimension|linear Diophantine equations,Definiciones métricas de líneas rectas en Geometría Discreta del Taxista
Vol28_No1_Pages-40-49,La generalización de un orden de medias: desde la geometría hasta el cálculo,"Otilio B. Mederos Anoceto|Rita Roldán Inguanzo|José E. Martínez, Serra","Facultad de Ciencias Físico-Matemáticas, Universidad Autónoma de Coahuila, México|Facultad de Matemática Física y Computación, Universidad Central de Las Villas, Cuba",,Generalización de un orden de medias en tres contextos
Vol28_No1_Pages-50-57,Un estudio diagnóstico sobre Ecuaciones Diferenciales Ordinarias en estudiantes de Licenciatura en Química. Consecuencias en representaciones mentales,María del Carmen Rivalta Valladares|Herminia Hernández Fernández,"Facultad de Matemática y Computación, Universidad de La Habana|Centro de Estudios para la Educación Superior (CEPES), Universidad de La Habana",Ecuaciones Diferenciales Ordinarias|valoración|representación mental|solidez del conocimiento,Estudio diagnóstico sobre Ecuaciones Diferenciales Ordinarias en estudiantes de Química
Vol28_No1_Pages-63-68,Asymptotic for the quantization error for a Wiener process with Gaussian starting point,Luis A. Salomón,"Universidad de La Habana, Facultad de Matemática y Computación, Departamento de Matemática Aplicada",Functional quantization|Wiener process|Gaussian starting point|Convergence rate|Quantization error,Convergence rate of quantization error for Wiener process with Gaussian starting point
Vol31No1P01-08,Una estrategia GRASP aplicada al Problema de Enrutamiento de Vehículos con Recogida y Entrega Simultánea,Alina Fernández Arias|Sira Allende Alonso,"Departamento de Matemática, Universidad de La Habana, La Habana, Cuba|Departamento de Matemática Aplicada, Universidad de La Habana, La Habana, Cuba",enrutamiento de vehículos|recogida y entrega simultánea|GRASP|VND,Estrategia GRASP para el problema de enrutamiento de vehículos con recogida y entrega simultánea
Vol31No1P09-18,Wavelets Logarítmicas: Una Herramienta Efectiva para el Procesamiento de Mamogramas,Damian Valde´s Santiago|Daniel Mesejo Leo´n|A´ngela Leo´n Mec´ıas,DepartamentodeMatema´ticaAplicada|FacultaddeMatema´ticayComputacio´n|UniversidaddeLaHabana|Cuba,MejoramientodeContraste|TransformadaWavelet|TransformadaWaveletLogar´ıtmica|Mamograf´ıa,Procesamiento de mamogramas con wavelets logarítmicas
Vol31No1P19-23,Un esquema alternativo para diferencias finitas generalizadas.,A. Gaona-Arias|F. J. Dom´ınguez-Mota|G. Sa´nchez-Ye´pez|J. G. Tinoco-Ruiz|M. L. Ruiz-Zavala,"Facultad de Ciencias F´ısico Matema´ticas, Universidad Michoacan de San Nicola´s de Hidalgo, Morelia, Me´xico|Universidad Abierta y a Distancia de Me´xico, Ciudad de Me´xico, Me´xico",Diferencias Finitas Generalizadas|Programacio´n Lineal|Mallas irregulares|Mallas estructuradas|Ecuaciones El´ıpticas,Esquema alternativo para diferencias finitas generalizadas
Vol31No1P25-34,Optimization Methods applied to Container Stacking Problem,Laidy De Armas Jacomino|Rafael Bello Pe´rez|Carlos Morell Pe´rez,"Facultad de Ciencias Informa´ticas, Universidad de Ciegode A´vila Ma´ximo Go´mez Ba´ez, Ciegode A´vila, Cuba.|Centro de Estudios de Informa´tica, Universidad Central”Marta Abreu”de Las Villas, Cuba.",Apilamientodecontenedores—Me´todosdeoptimizacio´n—Me´todosexactos—Metaheurist´ıcas,Métodos de optimización para el problema de apilamiento de contenedores
Vol31No1P35-39,Escalamiento Multidimensional empleando Metaheurísticas,María Esther Reyes Calzado,"Departamento de Matemática, Universidad de la Habana, Cuba",Escalamiento Multidimensional|Metaheurísticas|Proximidades|Stress,Escalamiento Multidimensional con Metaheurísticas
Vol31No1P41-47,Uso de Filtros Morfolo´gicos en Ima´genes de Mamograf´ıas,Ceyli M. Ricardo Gomar|Marta L. Baguer D´ıaz-Roman˜ach|Jorge Del Risco Mart´ınez,"DepartamentodeMatema´ticaAplicada,FacultaddeMatema´ticayComputacio´n,UniversidaddeLaHabana,Cuba",ProcesamientodeIma´genesDigitales|Morfolog´ıaMatema´tica|FiltrosMorfolo´gicos,Procesamiento de imágenes digitales de mamografías con filtros morfológicos
Vol31No1P49-60,Estudio comparativo sobre ensambles de clasificadores en flujos de datos no estacionarios,Alberto Verdecia Cabrera|Isvani Frías Blanco|Agustín Ortíz Díaz|Yanet Rodríguez Sarabia|Antonio Mustelier Hechavarría,"Departamento de informática, Universidad de Granma, Cuba|Instituto de Ciencias Matemáticas de Computación, Universidad de São Paulo, Brasil|Centro de Estudios de Informática, Universidad Central 'Marta Abreu' de Las Villas, Villa Clara, Cuba",Flujos de datos|Ensambles de clasificadores|Cambio de concepto,Comparación de enfoques para manejar cambios de concepto en flujos de datos
Vol31No1P61-65,Algoritmo Genético en el Criptoanálisis a Cifrados en Bloques,Mijail Borges-Quintana|Miguel A. Borges-Trenard|Adrian Donatien Charón,"DepartamentodeMatemática, FCNE, Universidad de Oriente, Cuba",Cifrados en bloques|criptoanálisis|algoritmo genético,Criptoanálisis de cifrados en bloques con algoritmo genético
Vol31No1P67-73,On Mario O. Gonza´lez’s Introduccio´n al Ana´lisis Matema´tico,Luis Giraldo Gonza´lez Ricardo,"DepartamentodeMatema´tica,UniversidaddeLaHabana,LaHabana,Cuba",MarioO.Gonza´lez|matema´ticacubana|nu´merosreales,Análisis de Introduccio´n al Ana´lisis Matema´tico de Mario O. Gonza´lez
Vol31No1P75-82,Enseñanza Del Cálculo Integral en el Inicio del Siglo XXI,Moisés Villena Muñoz|Ricardo Sánchez Casanova|Idania Urrutia Román,"DepartamentodeMatemática,UniversidadSantaMaría campusGuayaquil, Ecuador|FacultadMatemática y Computación,Universidad de La Habana, Cuba|FacultadMatemática y Computación,Universidad de La Habana, Cuba",Estrategiadidáctica integradora|Nivel de asimilación|Cálculo Integral|Tecnologías de la Información y las Comunicaciones,Estrategia didáctica integradora para el Cálculo Integral mediado por TIC
Vol31No1P83-88,Sobre la Estructura del Algebra de Wiener-Walsh,Claudia Fonte Sa´nchez|Carlos Sa´nchez Ferna´ndez,"DepartamentodeMatema´tica,UniversidaddeLaHabana,Cuba",A´lgebradeWiener—GrupoDia´dico—ElementosIdempotentes—S´ıntesisEspectral,Estructura algebraica del Algebra de Wiener-Walsh
Vol31No2P089-093,Solución del problema elástico lineal en medios cilíndricos y esféricos transversalmente isotrópicos,David Guinovart Sanjuán|Reinaldo Rodríguez Ramos|Raúl Guinovart Díaz|Julián Bravo Castillero|Ransés Alfonso Rodríguez,"Departamento de Matemática, Universidad de La Habana",Elasticidad|Ecuaciones diferenciales|Ecuaciones de equilibrio,Problema elástico lineal en medios transversalmente isotrópicos
Vol31No2P095-107,Parametrizacio´n B-spline de regiones planas con frontera irregular,Isidro A. Abello´ Ugalde|Victoria Herna´ndez Mederos|Pablo Barrera Sa´nchez|Guilmer F. Gonza´lez Flores,"Centro de Estudios para el Perfeccionamiento de la Educacio´n Superior, Universidad de La Habana, Cuba|Departamentode Matema´tica, Institutode Ciberne´tica Matema´ticay F´ısica, La Habana, Cuba|Facultad de Ciencias, Universidad Nacional Auto´noma de Me´xico, Ciudad de Me´xico",mapeobicuadra´tico|malladecuadrila´teros|regio´ncerradaconfronterairregular|Isogeome´trico,Parametrización B-spline de regiones planas con frontera irregular
Vol31No2P109-116,Bu´squeda Local Iterada aplicada al VRP con Recogida y Entrega Mixta,Alina Ferna´ndez Arias|Sira Allende Alonso,"Facultad de Matema´tica y Computacio´n, Universidad de La Habana, La Habana, Cuba",enrutamientodeveh´ıculos|recogidayentregamixta|bu´squedalocaliterada,Aplicación de búsqueda local iterada al VRP con recogida y entrega mixta
Vol31No2P117-123,Clasificacio´nmorfolo´gicausandodescriptoreselementalesenima´genesdigitalesdemuestrasdeHUVEC,Miriela Escobedo Nicot|Silena Herold Garc´ıa|Ligia Ferreira Gomez|Camila Machado|Elisaˆngela Monteiro Pereira|Wilkie Delgado Font,"DepartamentodeComputacio´n,UniversidaddeOriente,SantiagodeCuba,Cuba|DepartamentodeAna´lisisCl´ınicosyToxicolo´gicos,UniversidaddeSa˜oPaulo,Sa˜oPaulo,Brasil|DepartamentodeFisiopatologiaExperimental,FaculdadedeMedicina,UniversidadedeSa˜oPaulo,Sa˜oPaulo,Brasil|DepartamentodeAna´lisesCl´ınicaseToxicolo´gicas,FaculdadedeCieˆnciasFarmaceˆuticas,UniversidadeFederaldeAlfenas,MinasGerais,Brasil",Clasificacio´ndeformas|Angioge´nesis|HUVEC,Clasificación morfológica de células HUVEC para estudios de angiogénesis
Vol31No2P125-132,Elementos de Innovacio´n Docente en la Mejora del Aprendizaje: El Impulsor Cualitativo y su Aplicacio´n en la Resolucio´n de Problemas en Matema´ticas,Nelson Claudio Co´rdova Rosas|Ricardo Sa´nchez Casanova|Idania Urrutia Roman´ı,"Universidad Te´cnica Federico Santa Mar´ıa, Ecuador–Chile|Facultad de Matema´tica y Computacio´n, Universidad de La Habana, Cuba",Resolucio´ndeproblemas|Impulsorcualitativo|Solucionador|Problema,Elementos de innovación docente en la resolución de problemas matemáticos
Vol31No2P133-141,Evaluación del algoritmo de clasificación basado en reglas JRip para datos standard y desbalanceados,Laidy De Armas Jacomino|Danilo Valdes Ramirez,"Facultad de Ciencias Informáticas, Universidad de Ciego de Ávila Máximo Gómez Báez, Ciego de Ávila, Cuba",Clasificación|datos desbalanceados|datos con ruido|JRip|reglas|valores perdidos,Evaluación del algoritmo JRip para clasificación de datos
Vol31No2P143-149,Secuencia didáctica entre logos y praxis de la combinación lineal,Angela Martin Sánchez|Olga Lidia Pérez González|Laura Casas Fuentes|Ricardo Sánchez Casanova,"Facultad de Ciencias, Universidad Autónoma de Santo Domingo, Santo Domingo, República Dominicana|Departamento de Matemática, Universidad de Camagüey, Camagüey, Cuba|Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba",logos|praxis|combinación lineal,Secuencia didáctica para resolver problemas algebraicos
Vol31No2P151-157,Medidas para asegurar la calidad del etiquetado de los modelos de procesos de negocio en el sector de la salud,Lisbet Herna´ndez Ca´rdenas|Frank Reyes Garc´ıa|Isel Moreno Montes de Oca|Abel Rodr´ıguez Morffi,"Universidad Central“Marta Abreu”de Las Villas, Villa Clara, Cuba",BPMN|Medidas|Calidad,Medidas de calidad para etiquetado de modelos de procesos de negocio en el sector de la salud
Vol31No2P159-169,Mallas adaptativas usando wavelet para diferencias finitas en modelos de prono´stico nume´rico del tiempo,Maibys Sierra Lorenzo|Angela Leo´n Mec´ıas|Angel Domingues Chovert|Evelyn Elisa Mart´ınez Sabari,"Centro de F´ısica de la Atmo´sfera, Instituto de Meteorolog´ıa, Habana, Cuba|Departamento de Matema´tica Aplicada, Facultad de Matema´ticay Computacio´n, Universidad de La Habana, Cuba|Instituto Nacional de Pesquisas Espaciais, Centro de Previsa˜ode Tempo e Estudos Clima´ticos Cachoeira Paulista, Sa˜o Paulo, Brasil|Programa de Posgrado en Ciencias de la Tierra, Universidad Nacional Auto´noma de Me´xico, D.F., Me´xico",representacio´n por bloques adaptativa|resolucio´n adaptativa de Ecuaciones Diferenciales Parciales|prono´stico nume´rico del tiempo,Algoritmo numérico para EDPs no lineales y dependientes del tiempo
